"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2025","136.07","134.00","136.20","133.82","97.81K","1.86%"
"11/04/2025","133.59","131.90","133.89","131.00","378.42K","2.00%"
"11/03/2025","130.97","130.33","131.49","127.09","368.57K","0.45%"
"10/31/2025","130.38","131.44","131.49","129.30","387.98K","-1.59%"
"10/30/2025","132.49","130.21","138.90","129.28","695.71K","3.53%"
"10/29/2025","127.97","127.00","128.00","126.00","556.72K","-0.12%"
"10/28/2025","128.13","128.45","129.49","126.00","586.22K","-0.03%"
"10/27/2025","128.17","127.71","129.35","127.62","346.91K","0.40%"
"10/24/2025","127.66","127.78","128.05","126.75","323.20K","-0.04%"
"10/23/2025","127.71","129.22","129.44","127.06","346.64K","-1.17%"
"10/22/2025","129.22","133.63","133.63","128.60","440.54K","-2.71%"
"10/21/2025","132.82","133.35","133.90","132.64","367.30K","0.14%"
"10/20/2025","132.64","132.00","133.46","131.70","350.20K","0.73%"
"10/17/2025","131.68","130.99","131.88","129.79","379.88K","0.83%"
"10/16/2025","130.59","127.37","130.89","126.68","559.37K","2.93%"
"10/15/2025","126.87","126.81","128.90","126.58","525.37K","0.13%"
"10/14/2025","126.70","124.73","127.09","124.02","388.79K","1.58%"
"10/13/2025","124.73","123.54","125.67","123.42","476.82K","0.20%"
"10/10/2025","124.48","123.95","125.84","123.38","771.39K","1.04%"
"10/09/2025","123.20","120.30","124.36","119.81","772.39K","2.73%"
"10/08/2025","119.93","120.41","120.78","119.17","357.87K","0.09%"
"10/07/2025","119.82","118.92","120.18","118.25","395.74K","0.87%"
"10/06/2025","118.79","119.78","120.70","118.02","570.32K","-1.54%"
"10/03/2025","120.65","119.68","121.58","119.54","613.46K","1.13%"
"10/02/2025","119.30","118.19","119.94","117.77","487.13K","0.28%"
"10/01/2025","118.97","117.31","119.24","117.08","436.24K","1.54%"
"09/30/2025","117.16","116.26","117.72","116.26","428.92K","0.70%"
"09/29/2025","116.34","115.29","116.63","114.15","427.74K","0.82%"
"09/26/2025","115.39","114.59","116.14","113.97","464.28K","1.28%"
"09/25/2025","113.93","115.26","117.00","113.76","572.83K","-0.40%"
"09/24/2025","114.39","114.72","115.86","113.70","477.56K","-0.28%"
"09/23/2025","114.71","114.69","115.17","113.21","420.16K","-0.23%"
"09/22/2025","114.97","112.82","115.06","112.17","886.98K","1.55%"
"09/19/2025","113.22","111.92","113.50","110.60","2.55M","1.17%"
"09/18/2025","111.91","118.07","118.55","111.65","1.19M","-5.59%"
"09/17/2025","118.53","118.40","120.03","117.70","573.71K","0.62%"
"09/16/2025","117.80","121.77","122.04","117.63","584.28K","-3.26%"
"09/15/2025","121.77","122.15","123.89","121.20","497.55K","-0.17%"
"09/12/2025","121.98","124.05","124.36","121.25","468.85K","-1.75%"
"09/11/2025","124.15","121.57","125.47","121.57","558.64K","2.28%"
"09/10/2025","121.38","121.57","122.73","119.27","490.84K","-1.00%"
"09/09/2025","122.60","122.54","123.68","121.33","465.30K","0.08%"
"09/08/2025","122.50","120.63","122.62","119.00","505.72K","1.40%"
"09/05/2025","120.81","119.48","121.40","119.48","591.35K","1.26%"
"09/04/2025","119.31","117.30","119.95","116.59","508.29K","1.81%"
"09/03/2025","117.19","116.52","117.28","115.41","336.25K","0.21%"
"09/02/2025","116.94","116.75","117.80","115.87","453.35K","-0.26%"
"08/29/2025","117.24","116.51","117.78","116.51","281.40K","0.89%"
"08/28/2025","116.21","117.42","117.44","116.00","435.39K","-1.03%"
"08/27/2025","117.42","114.96","117.53","114.69","472.53K","2.10%"
"08/26/2025","115.01","116.10","117.38","114.98","509.84K","-1.34%"
"08/25/2025","116.57","118.58","119.39","116.55","295.30K","-2.23%"
"08/22/2025","119.23","119.20","120.56","118.72","437.39K","0.86%"
"08/21/2025","118.21","118.25","119.25","117.90","259.98K","-0.51%"
"08/20/2025","118.82","119.00","119.91","117.83","357.46K","-0.20%"
"08/19/2025","119.06","115.88","119.31","115.88","630.50K","2.95%"
"08/18/2025","115.65","113.20","115.85","113.20","510.04K","2.30%"
"08/15/2025","113.05","114.92","115.88","112.89","398.33K","-1.46%"
"08/14/2025","114.72","114.73","115.05","113.30","268.93K","-0.33%"
"08/13/2025","115.10","114.69","115.22","113.73","391.36K","0.18%"
"08/12/2025","114.89","114.99","115.35","114.31","247.00K","0.26%"
"08/11/2025","114.59","114.00","115.33","113.29","261.37K","0.42%"
"08/08/2025","114.11","114.41","115.15","113.84","309.03K","-0.11%"
"08/07/2025","114.23","114.00","115.15","112.24","500.29K","0.63%"
"08/06/2025","113.51","112.35","113.86","111.75","408.11K","1.20%"
"08/05/2025","112.16","111.99","113.48","111.71","432.48K","0.13%"
"08/04/2025","112.01","112.34","113.72","111.68","375.47K","-0.36%"
"08/01/2025","112.41","112.19","113.00","110.40","552.21K","0.59%"
"07/31/2025","111.75","113.98","114.95","111.58","486.60K","-2.53%"
"07/30/2025","114.65","114.78","115.92","114.23","740.42K","-0.11%"
"07/29/2025","114.78","115.75","116.50","114.71","600.65K","-1.21%"
"07/28/2025","116.18","118.02","118.71","115.11","652.89K","-2.20%"
"07/25/2025","118.80","114.52","124.50","114.41","1.48M","6.25%"
"07/24/2025","111.81","114.27","115.13","111.70","803.10K","-2.14%"
"07/23/2025","114.26","117.75","118.52","114.00","947.65K","-2.65%"
"07/22/2025","117.37","115.25","117.49","115.00","619.00K","2.30%"
"07/21/2025","114.73","113.51","115.50","113.44","512.84K","1.21%"
"07/18/2025","113.36","113.79","114.70","112.60","618.16K","-0.11%"
"07/17/2025","113.48","111.16","113.48","111.00","524.88K","2.32%"
"07/16/2025","110.91","110.00","111.60","110.00","441.68K","1.24%"
"07/15/2025","109.55","112.21","112.25","109.42","597.01K","-2.41%"
"07/14/2025","112.25","113.95","114.63","112.01","405.84K","-1.49%"
"07/11/2025","113.94","113.99","114.39","112.93","459.48K","-0.21%"
"07/10/2025","114.18","113.32","114.50","112.96","419.93K","0.76%"
"07/09/2025","113.32","113.98","114.20","112.26","474.78K","-0.47%"
"07/08/2025","113.86","115.39","115.85","112.81","655.11K","-1.82%"
"07/07/2025","115.97","117.71","119.00","114.39","1.07M","-1.48%"
"07/03/2025","117.71","116.25","118.05","115.26","467.45K","1.52%"
"07/02/2025","115.95","115.62","116.32","113.80","677.02K","0.29%"
"07/01/2025","115.62","111.78","116.65","111.65","845.18K","3.56%"
"06/30/2025","111.65","111.00","111.74","110.22","916.33K","0.18%"
"06/27/2025","111.45","110.90","112.56","110.10","1.54M","0.51%"
"06/26/2025","110.88","108.00","111.41","107.95","779.64K","3.00%"
"06/25/2025","107.65","109.18","110.24","107.21","649.81K","-1.46%"
"06/24/2025","109.25","109.00","109.55","107.96","521.18K","0.56%"
"06/23/2025","108.64","106.69","109.61","106.69","672.28K","1.40%"
